text,label_stage1,aspect_spans
"Matibay ang build quality ng headphones at malinis ang finish.",0,"[{""text"":""build quality"",""sentiment"":2},{""text"":""finish"",""sentiment"":2}]"
"Hindi matibay ang earcup at sira agad ang padding.",0,"[{""text"":""earcup"",""sentiment"":0},{""text"":""padding"",""sentiment"":0}]"
"Mura ang price para sa ganitong kalidad at sulit gamitin.",0,"[{""text"":""price"",""sentiment"":0},{""text"":""kalidad"",""sentiment"":2}]"
"Mahal ang presyo at hindi ito worth it.",0,"[{""text"":""presyo"",""sentiment"":0},{""text"":""worth it"",""sentiment"":0}]"
"Mabilis dumating ang package at secure ang packaging.",0,"[{""text"":""package"",""sentiment"":2},{""text"":""packaging"",""sentiment"":2}]"
"Na-late ng isang linggo ang delivery at sirahan ang parcel.",0,"[{""text"":""delivery"",""sentiment"":0},{""text"":""parcel"",""sentiment"":0}]"
"Comfortable sa mahabang session at light sa bigat.",0,"[{""text"":""comfortable"",""sentiment"":2},{""text"":""bigat"",""sentiment"":2}]"
"Ang colors ay okay at simple lang ang design.",0,"[{""text"":""colors"",""sentiment"":1},{""text"":""design"",""sentiment"":1}]"
"Maganda ang quality pero medyo mahal ang presyo.",0,"[{""text"":""quality"",""sentiment"":2},{""text"":""presyo"",""sentiment"":0}]"
"Dumating mabilis at solid ang packaging ng headphone.",0,"[{""text"":""packaging"",""sentiment"":2},{""text"":""headphone"",""sentiment"":2}]"
"Salamat sa shop, pakibili na ulit.",0,"[]"
"Clear sound pero mahina ang battery life.",0,"[{""text"":""sound"",""sentiment"":2},{""text"":""battery life"",""sentiment"":0}]"
"Price is fair, nothing special.",0,"[{""text"":""price"",""sentiment"":1}]"
"The parcel arrived on the scheduled day.",0,"[{""text"":""parcel"",""sentiment"":1}]"
"The color matches the photo and looks nice.",0,"[{""text"":""color"",""sentiment"":2}]"
"Dumating agad pero sira ang cable.",0,"[{""text"":""cable"",""sentiment"":0}]"
"Sulit ang presyo at matibay ang headphones.",1,"[{""text"":""presyo"",""sentiment"":2},{""text"":""headphones"",""sentiment"":2}]"
"Mahal at hindi comfortable sa mahabang paggamit.",1,"[{""text"":""comfortable"",""sentiment"":0},{""text"":""paggamit"",""sentiment"":0}]"
"Mabilis dumating, maganda ang quality, at sulit ang price.",1,"[{""text"":""package"",""sentiment"":2},{""text"":""quality"",""sentiment"":2},{""text"":""price"",""sentiment"":2}]"
"Thanks.",1,"[]"
