text,image_url,star_rating,product_id,label_stage1,authentic
"Matibay ang headphones at malinaw ang tunog kahit mahabang gamitin.",,5,headphones-a,0,1
"May minor lag sa Bluetooth pero okay lang para sa pang-araw-araw na paggamit.",,3,headphones-a,0,1
"Ang battery ay tumatagal at comfortable ito sa mahabang session.",,5,headphones-a,0,1
"Sira ang isang earcup pagkatapos ng isang linggo ng regular use.",,2,headphones-a,0,1
"Mahal pero sulit dahil maganda ang build quality.",,4,headphones-a,0,1
"Five stars but the left earcup stopped working after one use.",,5,headphones-b,1,0
"One star but it looks beautiful and the sound is clear.",,1,headphones-b,1,0
"Perfect product, highly recommended, best quality ever!",,5,headphones-b,1,0
"Sira at sirahan ang tela kahit five-star rating.",,5,headphones-b,1,0
"Good product",,5,headphones-b,2,0
"Maganda",,4,headphones-b,2,0
"Nice quality",,4,headphones-b,2,0
"Highly recommended",,5,headphones-b,2,0
"Dumating mabilis at ang rider ay maayos.",,5,headphones-b,3,0
"The courier delivered the parcel yesterday.",,4,headphones-b,3,0
"Seller responsive, the package arrived on time.",,5,headphones-b,3,0
"Fast shipping, complete parcel.",,4,headphones-b,3,0
