review_text,label_stage1,dim1_prob_auth,dim2_prob_dec,dim3_prob_liv,dim4_prob_irr,dim5_clip_sim,dim6_star_rating
synthetic-01,0,0.90,0.04,0.03,0.03,0.82,5
synthetic-02,0,0.88,0.05,0.04,0.03,0.78,4
synthetic-03,0,0.86,0.06,0.05,0.03,0.75,5
synthetic-04,0,0.91,0.03,0.04,0.02,0.84,3
synthetic-05,0,0.87,0.05,0.05,0.03,0.80,4
synthetic-06,0,0.85,0.06,0.06,0.03,0.76,4
synthetic-07,0,0.89,0.04,0.04,0.03,0.81,5
synthetic-08,0,0.84,0.07,0.05,0.04,0.72,2
synthetic-09,1,0.05,0.90,0.03,0.02,0.35,5
synthetic-10,1,0.04,0.92,0.02,0.02,0.31,1
synthetic-11,1,0.06,0.88,0.04,0.02,0.39,5
synthetic-12,1,0.04,0.90,0.03,0.03,0.28,1
synthetic-13,1,0.05,0.91,0.02,0.02,0.33,5
synthetic-14,1,0.03,0.93,0.02,0.02,0.25,2
synthetic-15,1,0.06,0.87,0.04,0.03,0.42,5
synthetic-16,1,0.04,0.89,0.04,0.03,0.37,2
synthetic-17,2,0.05,0.03,0.88,0.04,0.15,5
synthetic-18,2,0.04,0.04,0.90,0.02,0.12,5
synthetic-19,2,0.05,0.03,0.87,0.05,0.18,4
synthetic-20,2,0.06,0.02,0.89,0.03,0.14,3
synthetic-21,2,0.04,0.03,0.91,0.02,0.11,4
synthetic-22,2,0.03,0.05,0.88,0.04,0.16,5
synthetic-23,2,0.05,0.04,0.86,0.05,0.13,4
synthetic-24,2,0.04,0.03,0.90,0.03,0.17,4
synthetic-25,3,0.04,0.02,0.05,0.89,0.10,5
synthetic-26,3,0.03,0.02,0.06,0.89,0.08,5
synthetic-27,3,0.05,0.03,0.04,0.88,0.12,4
synthetic-28,3,0.04,0.02,0.05,0.89,0.09,5
synthetic-29,3,0.03,0.04,0.05,0.88,0.11,4
synthetic-30,3,0.05,0.02,0.04,0.89,0.10,4
synthetic-31,3,0.04,0.03,0.06,0.87,0.13,5
synthetic-32,3,0.03,0.02,0.05,0.90,0.07,4
synthetic-33,0,0.92,0.03,0.03,0.02,0.86,5
synthetic-34,1,0.04,0.91,0.03,0.02,0.33,1
synthetic-35,2,0.04,0.03,0.89,0.04,0.13,4
synthetic-36,3,0.03,0.02,0.05,0.90,0.08,5
synthetic-37,0,0.86,0.06,0.05,0.03,0.79,4
synthetic-38,1,0.05,0.88,0.04,0.03,0.30,2
synthetic-39,2,0.05,0.04,0.87,0.04,0.16,5
synthetic-40,3,0.04,0.02,0.06,0.88,0.09,4
